,document,date,title,state,year
45,FFH-MP-159.pdf,NA,NA,Brandenburg,2016
46,FFH-MP-163.pdf,NA,NA,Brandenburg,2015
47,FFH-MP-190-597-656.pdf,NA,NA,Brandenburg,2014
48,FFH-MP-191.pdf,NA,NA,Brandenburg,2015
49,FFH-MP-192.pdf,NA,NA,Brandenburg,2015
50,FFH-MP-195-219.pdf,NA,NA,Brandenburg,2014
51,FFH-MP-196.pdf,NA,NA,Brandenburg,2015
52,FFH-MP-199.pdf,NA,NA,Brandenburg,2015
53,FFH-MP-203.pdf,NA,NA,Brandenburg,2014
54,FFH-MP-209.pdf,NA,NA,Brandenburg,2014
55,FFH-MP-215-349TGOder-607-683.pdf,NA,NA,Brandenburg,2015
56,FFH-MP-220.pdf,NA,NA,Brandenburg,2019
57,FFH-MP-226.pdf,NA,NA,Brandenburg,2014
58,FFH-MP-417.pdf,NA,NA,Brandenburg,2015
59,FFH-MP-420.pdf,NA,NA,Brandenburg,2015
60,FFH-MP-421.pdf,NA,NA,Brandenburg,2014
61,PMP_WL_Endfassung_ohne_Karten_100712.41143.pdf,NA,NA,Bremen,2010
62,PMP_WL_Endfassung_ohne_Karten_100712.pdf,NA,NA,Bremen,2010
63,IBP_Elbeaestuar_8files_combined.pdf,NA,NA,Hamburg,2011
64,pep-text-karten_wohldorfer wald.pdf,NA,NA,Hamburg,2017
65,pep-text_fischbeker heide.pdf,NA,NA,Hamburg,2017
66,pep-text_Höltigbaum.pdf,NA,NA,Hamburg,2015
67,4012.pdf,NA,NA,Hessen,2007
68,4014.pdf,NA,NA,Hessen,2007
69,4021.pdf,NA,NA,Hessen,2008
70,4026.pdf,NA,NA,Hessen,2007
71,4027.pdf,NA,NA,Hessen,2008
72,4030.pdf,NA,NA,Hessen,2008
73,4034.pdf,NA,NA,Hessen,2007
74,4043.pdf,NA,NA,Hessen,2008
75,4044.pdf,NA,NA,Hessen,2008
76,4052.pdf,NA,NA,Hessen,2008
77,4053.pdf,NA,NA,Hessen,2008
78,4054.pdf,NA,NA,Hessen,2008
79,4055.pdf,NA,NA,Hessen,2008
80,4064.pdf,NA,NA,Hessen,2008
81,4070.pdf,NA,NA,Hessen,2008
82,4073.pdf,NA,NA,Hessen,2008
83,4075.pdf,NA,NA,Hessen,2007
84,4100.pdf,NA,NA,Hessen,2008
85,4101.pdf,NA,NA,Hessen,2008
86,4103.pdf,NA,NA,Hessen,2008
87,4115.pdf,NA,NA,Hessen,2012
88,4118.pdf,NA,NA,Hessen,2010
89,4322_301.pdf,NA,NA,Hessen,2011
90,4421_301.pdf,NA,NA,Hessen,2012
91,4421_305.pdf,NA,NA,Hessen,2012
92,4422_304.pdf,NA,NA,Hessen,2011
93,4422_305.pdf,NA,NA,Hessen,2011
94,4422_308.pdf,NA,NA,Hessen,2011
95,4522_303.pdf,NA,NA,Hessen,2011
96,4620_301.pdf,NA,NA,Hessen,2008
97,4621_306.pdf,NA,NA,Hessen,2012
98,4724_310.pdf,NA,NA,Hessen,2010
99,4724_311.pdf,NA,NA,Hessen,2009
100,4824_308.pdf,NA,NA,Hessen,2010
101,4825_302_TF1_nw_Datterode.pdf,NA,NA,Hessen,2014
102,4925_302.pdf,NA,NA,Hessen,2010
103,4926_303.pdf,NA,NA,Hessen,2011
104,5325_350.pdf,NA,NA,Hessen,2012
105,MMP_Waelder_BS_WOB.pdf,NA,NA,LowSax,2020
106,DE-4017-301_02_2files_combined.pdf,NA,NA,NRW,2004
107,DE-4118-301_01Bericht_Bundeswehr_MPE_Textteil_StOU¨bPl Augustdorf_fin.pdf,NA,NA,NRW,2020
108,DE-4207-301_01Bericht.pdf,NA,NA,NRW,2013
109,DE-4417-303_01Bericht.pdf,NA,NA,NRW,2020
110,DE_4207-302_01Bericht.pdf,NA,NA,NRW,2013
111,6308-301.pdf,NA,NA,Saarland,2009
112,6408-301.pdf,NA,NA,Saarland,2009
113,6408-302.pdf,NA,NA,Saarland,2010
114,6408-303.pdf,NA,NA,Saarland,2012
115,6408-304.pdf,NA,NA,Saarland,2013
116,6408-309.pdf,NA,NA,Saarland,2013
117,6505-304.pdf,NA,NA,Saarland,2010
118,6507-303.pdf,NA,NA,Saarland,2012
119,6508-302.pdf,NA,NA,Saarland,2012
120,6606-303.pdf,NA,NA,Saarland,2010
121,6606-304.pdf,NA,NA,Saarland,2010
122,6606-307.pdf,NA,NA,Saarland,2019
123,6609-308.pdf,NA,NA,Saarland,2010
124,6706-306.pdf,NA,NA,Saarland,2010
125,6709-302.pdf,NA,NA,Saarland,2006
126,F68_S22_6files_merged.pdf,NA,NA,SaxAnh,2007
127,FFH134_SPA4_7files_merged.pdf,NA,NA,SaxAnh,2002
128,FFH135_6files_merged.pdf,NA,NA,SaxAnh,2006
129,ffh150_Hirschrodaer_Graben.pdf,NA,NA,SaxAnh,2014
130,FFH193_himmelreich_6files_merged.pdf,NA,NA,SaxAnh,2002
131,ffh256_text.pdf,NA,NA,SaxAnh,2014
132,ffh258_Bericht_oeffentlich.pdf,NA,NA,SaxAnh,2014
133,FFH260_Kuhschellenstandort-bei-Recklingen.pdf,NA,NA,SaxAnh,2010
134,ffh261_Dissaugraben.pdf,NA,NA,SaxAnh,2014
135,ffh275_Ohreaue.pdf,NA,NA,SaxAnh,2015
136,FFH280_Werlberge_Textteil.pdf,NA,NA,SaxAnh,2012
137,FFH281_Schafhufe-westlich-Guenthersdorf.pdf,NA,NA,SaxAnh,2011
138,FFH283_Pfeifengraswiese-bei-Guenthersdorf.pdf,NA,NA,SaxAnh,2011
139,FFH51_15files_merged.pdf,NA,NA,SaxAnh,2002
140,ffh80_Kellerberge.pdf,NA,NA,SaxAnh,2013
141,FFH96_SPA19_Selketal-und-Bergwiesen-bei-Stiege.pdf,NA,NA,SaxAnh,2010
142,SPA13_FFH158_Fiener-Bruch.pdf,NA,NA,SaxAnh,2011
143,spa15_ffh163_MMP-Text_2017-10-27.pdf,NA,NA,SaxAnh,2017
144,spa20_ffh124_ffh165_text.pdf,NA,NA,SaxAnh,2016
145,spa4_ffh134_2020-01-12.pdf,NA,NA,SaxAnh,2012
146,spa5_ffh52_MMP_Hakel.pdf,NA,NA,SaxAnh,2015
147,01_Bericht.pdf,NA,NA,Saxony,2019
148,044E_text.pdf,NA,NA,Saxony,2006
149,085E_Seidewitztal_AB-08.pdf,NA,NA,Saxony,2008
150,088E_Bericht_310506.pdf,NA,NA,Saxony,2006
151,090E_ASB_Büro.pdf,NA,NA,Saxony,2011
152,112-Text.pdf,NA,NA,Saxony,2004
153,117_Endbericht_05_08_12_.pdf,NA,NA,Saxony,2005
154,128_Abschlussbericht.pdf,NA,NA,Saxony,2007
155,136_AB.pdf,NA,NA,Saxony,2011
156,138_AB.pdf,NA,NA,Saxony,2011
157,154_MaP_Printversion mit Abbildungen.pdf,NA,NA,Saxony,2012
158,190_31files_merged.pdf,NA,NA,Saxony,2005
159,191_27files_merged.pdf,NA,NA,Saxony,2005
160,272_2files_merged.pdf,NA,NA,Saxony,2006
161,Abschlussbericht MAP 147_2files_merged.pdf,NA,NA,Saxony,2008
162,Abschlussbericht_306.pdf,NA,NA,Saxony,2007
163,Abschlussbericht_MaP284.pdf,NA,NA,Saxony,2007
164,Bericht_261.pdf,NA,NA,Saxony,2019
165,Bericht_264.pdf,NA,NA,Saxony,2019
166,Bericht_FFH_SCI069.pdf,NA,NA,Saxony,2005
167,MAP-Königsbrücker Heide 049_Text Gesamt.pdf,NA,NA,Saxony,2011
168,MaP_105_Text.pdf,NA,NA,Saxony,2010
169,MaP_309_Text.pdf,NA,NA,Saxony,2011
170,MaP_310_Text.pdf,NA,NA,Saxony,2011
171,MaP_Schwarzer Schöps_Text.pdf,NA,NA,Saxony,2010
172,Text_MaP301_AB.pdf,NA,NA,Saxony,2007
173,2024-391Mplan_TGBuenzauStoer_Text.pdf,NA,NA,SchleHol,2014
174,ffh_064_spa_29_MaP_AB.pdf,NA,NA,Thuringia,2019
175,ffh_067_map_ab.pdf,NA,NA,Thuringia,2017
176,ffh_069_spa_33_MaP_AB.pdf,NA,NA,Thuringia,2018
177,ffh_070_spa_26_MaP_AB.pdf,NA,NA,Thuringia,2019
178,ffh_071_spa_34_MaP_AB.pdf,NA,NA,Thuringia,2019
179,ffh_072_spa_26_MaP_AB_.pdf,NA,NA,Thuringia,2019
180,ffh_076_MaP_AB.pdf,NA,NA,Thuringia,2019
181,ffh_077_MaP_AB.pdf,NA,NA,Thuringia,2019
182,ffh_078_MaP_AB.pdf,NA,NA,Thuringia,2019
183,ffh_097_MaP_AB.pdf,NA,NA,Thuringia,2019
184,ffh_103_map_ab.pdf,NA,NA,Thuringia,2018
185,ffh_104_map_ab.pdf,NA,NA,Thuringia,2018
186,ffh_143_spa_33_MaP_AB.pdf,NA,NA,Thuringia,2019
187,ffh_144_spa_35_MaP_AB.pdf,NA,NA,Thuringia,2018
