subcategory,word2,deca,mean,tf,df,df.n
global.cycles,phy.property,2020,0.151312116,271,152,0.084868788
location,classification,2020,0.150753769,270,98,0.054718035
classification,location,2020,0.150753769,270,98,0.054718035
landuse,aboveground,2010,0.150278293,81,42,0.077922078
aboveground,landuse,2010,0.150278293,81,42,0.077922078
diversity,disturbance,2020,0.150195422,269,67,0.037409269
disturbance,diversity,2020,0.150195422,269,67,0.037409269
landuse,aboveground,2015,0.14893617,175,89,0.075744681
aboveground,landuse,2015,0.14893617,175,89,0.075744681
landuse,erosion,2020,0.14852038,266,144,0.08040201
erosion,landuse,2020,0.14852038,266,144,0.08040201
policy,climate,2010,0.148423006,80,54,0.100185529
managing,economy,2010,0.148423006,80,47,0.087198516
managing,global.cycles,2010,0.148423006,80,52,0.096474954
economy,managing,2010,0.148423006,80,47,0.087198516
global.cycles,managing,2010,0.148423006,80,52,0.096474954
climate,policy,2010,0.148423006,80,54,0.100185529
policy,agriculture,2010,0.148423006,80,50,0.092764378
agriculture,policy,2010,0.148423006,80,50,0.092764378
soil,belowground,2015,0.148085106,174,109,0.092765957
belowground,soil,2015,0.148085106,174,109,0.092765957
decomposition,classification,2015,0.147234043,173,100,0.085106383
classification,decomposition,2015,0.147234043,173,100,0.085106383
agriculture,aboveground,2020,0.146845338,263,133,0.07426019
aboveground,agriculture,2020,0.146845338,263,133,0.07426019
erosion,belowground,2020,0.146845338,263,179,0.099944165
belowground,erosion,2020,0.146845338,263,179,0.099944165
relocation,disturbance,2010,0.146567718,79,36,0.066790353
disturbance,relocation,2010,0.146567718,79,36,0.066790353
salinization,salinization,2010,0.146567718,79,13,0.024118738
filtration,aboveground,2020,0.146286991,262,105,0.058626466
aboveground,filtration,2020,0.146286991,262,105,0.058626466
stability,stability,2020,0.145728643,261,152,0.084868788
global.cycles,aboveground,2015,0.145531915,171,53,0.045106383
aboveground,global.cycles,2015,0.145531915,171,53,0.045106383
inputs,inputs,2010,0.14471243,78,45,0.083487941
global.cycles,disturbance,2020,0.144053601,258,78,0.043551089
landuse,disturbance,2020,0.144053601,258,140,0.078168621
disturbance,global.cycles,2020,0.144053601,258,78,0.043551089
disturbance,landuse,2020,0.144053601,258,140,0.078168621
landuse,erosion,2015,0.143829787,169,97,0.082553191
erosion,landuse,2015,0.143829787,169,97,0.082553191
cover,chem.property,2010,0.142857143,77,47,0.087198516
chem.property,cover,2010,0.142857143,77,47,0.087198516
phy.property,degradation,2020,0.142378559,255,133,0.07426019
degradation,phy.property,2020,0.142378559,255,133,0.07426019
landuse,economy,2010,0.139146568,75,36,0.066790353
economy,landuse,2010,0.139146568,75,36,0.066790353
chem.property,agriculture,2020,0.138470128,248,170,0.09491904
agriculture,chem.property,2020,0.138470128,248,170,0.09491904
decomposition,classification,2020,0.138470128,248,152,0.084868788
classification,decomposition,2020,0.138470128,248,152,0.084868788
cover,compaction,2010,0.13729128,74,22,0.040816327
compaction,cover,2010,0.13729128,74,22,0.040816327
habitat,cover,2010,0.13729128,74,47,0.087198516
cover,habitat,2010,0.13729128,74,47,0.087198516
soil,deposition,2020,0.136795087,245,169,0.094360692
deposition,soil,2020,0.136795087,245,169,0.094360692
policy,economy,2020,0.136795087,245,136,0.075935232
economy,policy,2020,0.136795087,245,136,0.075935232
relocation,policy,2020,0.136236739,244,147,0.082077052
policy,relocation,2020,0.136236739,244,147,0.082077052
soil,compaction,2020,0.135678392,243,110,0.061418202
compaction,soil,2020,0.135678392,243,110,0.061418202
disturbance,climate,2010,0.135435993,73,42,0.077922078
climate,disturbance,2010,0.135435993,73,42,0.077922078
soil,decomposition,2020,0.134561697,241,172,0.096035734
decomposition,soil,2020,0.134561697,241,172,0.096035734
research,cover,2015,0.134468085,158,81,0.06893617
cover,research,2015,0.134468085,158,81,0.06893617
degradation,classification,2015,0.134468085,158,74,0.062978723
classification,degradation,2015,0.134468085,158,74,0.062978723
policy,disturbance,2020,0.13400335,240,136,0.075935232
disturbance,policy,2020,0.13400335,240,136,0.075935232
environment,decomposition,2010,0.133580705,72,44,0.081632653
decomposition,environment,2010,0.133580705,72,44,0.081632653
soil,deposition,2010,0.133580705,72,47,0.087198516
deposition,soil,2010,0.133580705,72,47,0.087198516
habitat,cover,2020,0.133445003,239,145,0.080960357
cover,habitat,2020,0.133445003,239,145,0.080960357
cover,chem.property,2015,0.132765957,156,92,0.078297872
chem.property,cover,2015,0.132765957,156,92,0.078297872
human,environment,2010,0.131725417,71,50,0.092764378
environment,human,2010,0.131725417,71,50,0.092764378
cover,climate,2020,0.130653266,234,129,0.072026801
climate,cover,2020,0.130653266,234,129,0.072026801
phy.property,amount,2015,0.130212766,153,79,0.067234043
amount,phy.property,2015,0.130212766,153,79,0.067234043
managing,contamination,2015,0.130212766,153,61,0.051914894
contamination,managing,2015,0.130212766,153,61,0.051914894
policy,location,2015,0.130212766,153,78,0.066382979
location,policy,2015,0.130212766,153,78,0.066382979
salinization,salinization,2015,0.129361702,152,36,0.030638298
phy.property,degradation,2015,0.128510638,151,82,0.069787234
degradation,phy.property,2015,0.128510638,151,82,0.069787234
diversity,characteristic,2010,0.128014842,69,42,0.077922078
characteristic,diversity,2010,0.128014842,69,42,0.077922078
characteristic,belowground,2020,0.12786153,229,169,0.094360692
belowground,characteristic,2020,0.12786153,229,169,0.094360692
habitat,diversity,2015,0.127659574,150,85,0.072340426
diversity,habitat,2015,0.127659574,150,85,0.072340426
global.cycles,filtration,2015,0.127659574,150,48,0.040851064
filtration,global.cycles,2015,0.127659574,150,48,0.040851064
phy.property,landuse,2020,0.127303183,228,141,0.078726968
landuse,phy.property,2020,0.127303183,228,141,0.078726968
degradation,classification,2020,0.127303183,228,128,0.071468453
classification,degradation,2020,0.127303183,228,128,0.071468453
global.cycles,classification,2015,0.126808511,149,92,0.078297872
classification,global.cycles,2015,0.126808511,149,92,0.078297872
classification,belowground,2020,0.126744835,227,131,0.073143495
belowground,classification,2020,0.126744835,227,131,0.073143495
policy,filtration,2020,0.126186488,226,164,0.091568956
filtration,policy,2020,0.126186488,226,164,0.091568956
degradation,classification,2010,0.126159555,68,42,0.077922078
succession,climate,2010,0.126159555,68,56,0.103896104
classification,degradation,2010,0.126159555,68,42,0.077922078
climate,succession,2010,0.126159555,68,56,0.103896104
managing,decomposition,2010,0.126159555,68,43,0.079777365
decomposition,managing,2010,0.126159555,68,43,0.079777365
stability,stability,2010,0.126159555,68,37,0.06864564
climate,belowground,2020,0.125628141,225,152,0.084868788
belowground,climate,2020,0.125628141,225,152,0.084868788
global.cycles,chem.property,2020,0.125069793,224,136,0.075935232
chem.property,global.cycles,2020,0.125069793,224,136,0.075935232
soil,economy,2010,0.124304267,67,55,0.102040816
economy,soil,2010,0.124304267,67,55,0.102040816
habitat,agriculture,2015,0.124255319,146,87,0.074042553
agriculture,habitat,2015,0.124255319,146,87,0.074042553
soil,decomposition,2015,0.124255319,146,105,0.089361702
decomposition,soil,2015,0.124255319,146,105,0.089361702
inputs,inputs,2015,0.124255319,146,90,0.076595745
habitat,climate,2015,0.123404255,145,90,0.076595745
climate,habitat,2015,0.123404255,145,90,0.076595745
global.cycles,chem.property,2015,0.123404255,145,78,0.066382979
chem.property,global.cycles,2015,0.123404255,145,78,0.066382979
research,filtration,2020,0.123394752,221,159,0.088777219
filtration,research,2020,0.123394752,221,159,0.088777219
soil,amount,2015,0.122553191,144,88,0.074893617
amount,soil,2015,0.122553191,144,88,0.074893617
filtration,climate,2015,0.122553191,144,102,0.086808511
climate,filtration,2015,0.122553191,144,102,0.086808511
erosion,decomposition,2010,0.12244898,66,33,0.06122449
decomposition,erosion,2010,0.12244898,66,33,0.06122449
acidification,acidification,2010,0.12244898,66,19,0.035250464
global.cycles,cover,2020,0.12171971,218,69,0.038525963
cover,global.cycles,2020,0.12171971,218,69,0.038525963
relocation,aboveground,2015,0.121702128,143,45,0.038297872
chem.property,agriculture,2015,0.121702128,143,111,0.094468085
agriculture,chem.property,2015,0.121702128,143,111,0.094468085
aboveground,relocation,2015,0.121702128,143,45,0.038297872
soil,deposition,2015,0.121702128,143,100,0.085106383
deposition,soil,2015,0.121702128,143,100,0.085106383
contamination,classification,2020,0.121161362,217,86,0.048017867
classification,contamination,2020,0.121161362,217,86,0.048017867
contamination,chem.property,2010,0.120593692,65,32,0.059369202
chem.property,contamination,2010,0.120593692,65,32,0.059369202
deposition,compaction,2010,0.120593692,65,30,0.055658627
compaction,deposition,2010,0.120593692,65,30,0.055658627
chem.property,belowground,2015,0.12,141,57,0.048510638
belowground,chem.property,2015,0.12,141,57,0.048510638
landuse,characteristic,2015,0.12,141,84,0.071489362
characteristic,landuse,2015,0.12,141,84,0.071489362
disturbance,degradation,2020,0.118927973,213,160,0.089335567
degradation,disturbance,2020,0.118927973,213,160,0.089335567
research,compaction,2010,0.118738404,64,28,0.051948052
compaction,research,2010,0.118738404,64,28,0.051948052
managing,amount,2010,0.118738404,64,32,0.059369202
location,decomposition,2010,0.118738404,64,14,0.025974026
decomposition,location,2010,0.118738404,64,14,0.025974026
amount,managing,2010,0.118738404,64,32,0.059369202
filtration,climate,2020,0.118369626,212,138,0.077051926
filtration,disturbance,2020,0.118369626,212,95,0.053042993
climate,filtration,2020,0.118369626,212,138,0.077051926
disturbance,filtration,2020,0.118369626,212,95,0.053042993
relocation,aboveground,2020,0.118369626,212,102,0.056951424
aboveground,relocation,2020,0.118369626,212,102,0.056951424
habitat,filtration,2015,0.118297872,139,80,0.068085106
filtration,habitat,2015,0.118297872,139,80,0.068085106
policy,contamination,2015,0.117446809,138,42,0.035744681
contamination,policy,2015,0.117446809,138,42,0.035744681
degradation,aboveground,2020,0.117252931,210,162,0.090452261
aboveground,degradation,2020,0.117252931,210,162,0.090452261
disturbance,amount,2010,0.116883117,63,26,0.048237477
amount,disturbance,2010,0.116883117,63,26,0.048237477
classification,amount,2020,0.116694584,209,123,0.068676717
amount,classification,2020,0.116694584,209,123,0.068676717
classification,belowground,2015,0.116595745,137,83,0.070638298
belowground,classification,2015,0.116595745,137,83,0.070638298
global.cycles,chem.property,2010,0.115027829,62,33,0.06122449
chem.property,global.cycles,2010,0.115027829,62,33,0.06122449
research,landuse,2010,0.115027829,62,35,0.064935065
landuse,research,2010,0.115027829,62,35,0.064935065
compaction,belowground,2010,0.115027829,62,13,0.024118738
belowground,compaction,2010,0.115027829,62,13,0.024118738
landuse,filtration,2020,0.115019542,206,90,0.050251256
filtration,landuse,2020,0.115019542,206,90,0.050251256
classification,amount,2015,0.114042553,134,75,0.063829787
amount,classification,2015,0.114042553,134,75,0.063829787
policy,location,2020,0.113902848,204,115,0.064209939
location,policy,2020,0.113902848,204,115,0.064209939
research,diversity,2015,0.113191489,133,69,0.058723404
diversity,research,2015,0.113191489,133,69,0.058723404
deposition,aboveground,2010,0.113172542,61,20,0.037105751
aboveground,deposition,2010,0.113172542,61,20,0.037105751
managing,deposition,2010,0.113172542,61,29,0.05380334
deposition,managing,2010,0.113172542,61,29,0.05380334
cover,climate,2015,0.112340426,132,70,0.059574468
climate,cover,2015,0.112340426,132,70,0.059574468
erosion,belowground,2015,0.111489362,131,83,0.070638298
belowground,erosion,2015,0.111489362,131,83,0.070638298
compaction,aboveground,2010,0.111317254,60,30,0.055658627
location,characteristic,2010,0.111317254,60,25,0.046382189
habitat,climate,2010,0.111317254,60,45,0.083487941
aboveground,compaction,2010,0.111317254,60,30,0.055658627
research,cover,2010,0.111317254,60,39,0.072356215
climate,habitat,2010,0.111317254,60,45,0.083487941
characteristic,location,2010,0.111317254,60,25,0.046382189
cover,research,2010,0.111317254,60,39,0.072356215
chem.property,agriculture,2010,0.111317254,60,39,0.072356215
agriculture,chem.property,2010,0.111317254,60,39,0.072356215
phy.property,amount,2020,0.111111111,199,112,0.062534897
amount,phy.property,2020,0.111111111,199,112,0.062534897
erosion,compaction,2015,0.110638298,130,71,0.060425532
compaction,erosion,2015,0.110638298,130,71,0.060425532
acidification,acidification,2020,0.109994417,197,83,0.046342825
succession,climate,2015,0.109787234,129,77,0.065531915
climate,succession,2015,0.109787234,129,77,0.065531915
landuse,characteristic,2010,0.109461967,59,30,0.055658627
phy.property,degradation,2010,0.109461967,59,37,0.06864564
succession,disturbance,2010,0.109461967,59,31,0.057513915
characteristic,landuse,2010,0.109461967,59,30,0.055658627
degradation,phy.property,2010,0.109461967,59,37,0.06864564
disturbance,succession,2010,0.109461967,59,31,0.057513915
diversity,characteristic,2015,0.10893617,128,53,0.045106383
characteristic,diversity,2015,0.10893617,128,53,0.045106383
global.cycles,aboveground,2020,0.108877722,195,89,0.049692909
succession,climate,2020,0.108877722,195,140,0.078168621
aboveground,global.cycles,2020,0.108877722,195,89,0.049692909
climate,succession,2020,0.108877722,195,140,0.078168621
habitat,agriculture,2020,0.108319375,194,111,0.061976549
agriculture,habitat,2020,0.108319375,194,111,0.061976549
landuse,contamination,2015,0.108085106,127,39,0.033191489
contamination,landuse,2015,0.108085106,127,39,0.033191489
soil,contamination,2010,0.107606679,58,34,0.063079777
contamination,soil,2010,0.107606679,58,34,0.063079777
decomposition,aboveground,2010,0.107606679,58,20,0.037105751
aboveground,decomposition,2010,0.107606679,58,20,0.037105751
deposition,belowground,2010,0.107606679,58,9,0.016697588
belowground,deposition,2010,0.107606679,58,9,0.016697588
managing,global.cycles,2015,0.107234043,126,79,0.067234043
global.cycles,managing,2015,0.107234043,126,79,0.067234043
disturbance,deposition,2015,0.107234043,126,47,0.04
deposition,disturbance,2015,0.107234043,126,47,0.04
economy,classification,2010,0.105751391,57,34,0.063079777
cover,climate,2010,0.105751391,57,36,0.066790353
environment,contamination,2010,0.105751391,57,31,0.057513915
phy.property,contamination,2010,0.105751391,57,30,0.055658627
climate,cover,2010,0.105751391,57,36,0.066790353
classification,economy,2010,0.105751391,57,34,0.063079777
contamination,environment,2010,0.105751391,57,31,0.057513915
location,erosion,2010,0.105751391,57,27,0.050092764
erosion,location,2010,0.105751391,57,27,0.050092764
contamination,phy.property,2010,0.105751391,57,30,0.055658627
characteristic,belowground,2015,0.105531915,124,90,0.076595745
belowground,characteristic,2015,0.105531915,124,90,0.076595745
habitat,climate,2020,0.105527638,189,130,0.072585148
climate,habitat,2020,0.105527638,189,130,0.072585148
policy,filtration,2010,0.103896104,56,38,0.070500928
filtration,policy,2010,0.103896104,56,38,0.070500928
climate,agriculture,2010,0.103896104,56,43,0.079777365
research,amount,2010,0.103896104,56,31,0.057513915
agriculture,climate,2010,0.103896104,56,43,0.079777365
amount,research,2010,0.103896104,56,31,0.057513915
degradation,aboveground,2015,0.103829787,122,75,0.063829787
aboveground,degradation,2015,0.103829787,122,75,0.063829787
compaction,classification,2015,0.103829787,122,63,0.053617021
classification,compaction,2015,0.103829787,122,63,0.053617021
location,aboveground,2020,0.103294249,185,82,0.045784478
aboveground,location,2020,0.103294249,185,82,0.045784478
phy.property,contamination,2015,0.102978723,121,63,0.053617021
contamination,phy.property,2015,0.102978723,121,63,0.053617021
landuse,habitat,2015,0.102978723,121,72,0.061276596
habitat,landuse,2015,0.102978723,121,72,0.061276596
characteristic,agriculture,2015,0.10212766,120,73,0.06212766
agriculture,characteristic,2015,0.10212766,120,73,0.06212766
disturbance,degradation,2010,0.102040816,55,28,0.051948052
degradation,disturbance,2010,0.102040816,55,28,0.051948052
compaction,agriculture,2010,0.102040816,55,11,0.020408163
agriculture,compaction,2010,0.102040816,55,11,0.020408163
deposition,classification,2010,0.102040816,55,37,0.06864564
classification,deposition,2010,0.102040816,55,37,0.06864564
phy.property,deposition,2015,0.101276596,119,80,0.068085106
deposition,phy.property,2015,0.101276596,119,80,0.068085106
phy.property,deposition,2020,0.10106086,181,121,0.067560022
deposition,phy.property,2020,0.10106086,181,121,0.067560022
characteristic,agriculture,2020,0.100502513,180,110,0.061418202
agriculture,characteristic,2020,0.100502513,180,110,0.061418202
policy,belowground,2015,0.100425532,118,64,0.054468085
belowground,policy,2015,0.100425532,118,64,0.054468085
research,location,2015,0.100425532,118,54,0.045957447
location,research,2015,0.100425532,118,54,0.045957447
landuse,chem.property,2010,0.100185529,54,32,0.059369202
filtration,compaction,2010,0.100185529,54,23,0.042671614
erosion,cover,2010,0.100185529,54,37,0.06864564
filtration,cover,2010,0.100185529,54,33,0.06122449
cover,erosion,2010,0.100185529,54,37,0.06864564
compaction,filtration,2010,0.100185529,54,23,0.042671614
cover,filtration,2010,0.100185529,54,33,0.06122449
chem.property,landuse,2010,0.100185529,54,32,0.059369202
policy,belowground,2020,0.099944165,179,105,0.058626466
belowground,policy,2020,0.099944165,179,105,0.058626466
relocation,deposition,2020,0.099944165,179,105,0.058626466
deposition,relocation,2020,0.099944165,179,105,0.058626466
diversity,belowground,2015,0.099574468,117,54,0.045957447
belowground,diversity,2015,0.099574468,117,54,0.045957447
soil,economy,2015,0.099574468,117,90,0.076595745
economy,soil,2015,0.099574468,117,90,0.076595745
environment,deposition,2015,0.099574468,117,71,0.060425532
deposition,environment,2015,0.099574468,117,71,0.060425532
research,landuse,2015,0.098723404,116,64,0.054468085
landuse,research,2015,0.098723404,116,64,0.054468085
climate,agriculture,2015,0.09787234,115,70,0.059574468
agriculture,climate,2015,0.09787234,115,70,0.059574468
location,characteristic,2020,0.097710776,175,86,0.048017867
characteristic,location,2020,0.097710776,175,86,0.048017867
economy,agriculture,2020,0.097710776,175,101,0.056393076
agriculture,economy,2020,0.097710776,175,101,0.056393076
succession,cover,2020,0.097152429,174,103,0.057509771
cover,succession,2020,0.097152429,174,103,0.057509771
landuse,climate,2015,0.097021277,114,52,0.044255319
climate,landuse,2015,0.097021277,114,52,0.044255319
climate,agriculture,2020,0.096594082,173,98,0.054718035
agriculture,climate,2020,0.096594082,173,98,0.054718035
succession,disturbance,2020,0.096594082,173,76,0.042434394
location,erosion,2020,0.096594082,173,84,0.046901173
erosion,location,2020,0.096594082,173,84,0.046901173
disturbance,succession,2020,0.096594082,173,76,0.042434394
habitat,filtration,2010,0.096474954,52,36,0.066790353
filtration,habitat,2010,0.096474954,52,36,0.066790353
relocation,disturbance,2015,0.096170213,113,48,0.040851064
disturbance,relocation,2015,0.096170213,113,48,0.040851064
soil,degradation,2010,0.094619666,51,27,0.050092764
degradation,soil,2010,0.094619666,51,27,0.050092764
succession,decomposition,2010,0.094619666,51,24,0.044526902
decomposition,succession,2010,0.094619666,51,24,0.044526902
characteristic,belowground,2010,0.094619666,51,36,0.066790353
belowground,characteristic,2010,0.094619666,51,36,0.066790353
human,classification,2010,0.094619666,51,37,0.06864564
classification,human,2010,0.094619666,51,37,0.06864564
policy,diversity,2015,0.094468085,111,69,0.058723404
diversity,policy,2015,0.094468085,111,69,0.058723404
managing,decomposition,2015,0.094468085,111,78,0.066382979
decomposition,managing,2015,0.094468085,111,78,0.066382979
research,cover,2020,0.093802345,168,104,0.058068118
cover,research,2020,0.093802345,168,104,0.058068118
environment,deposition,2020,0.093243998,167,112,0.062534897
deposition,environment,2020,0.093243998,167,112,0.062534897
landuse,climate,2020,0.093243998,167,80,0.044667783
phy.property,contamination,2020,0.093243998,167,86,0.048017867
climate,landuse,2020,0.093243998,167,80,0.044667783
contamination,phy.property,2020,0.093243998,167,86,0.048017867
degradation,characteristic,2020,0.093243998,167,63,0.035175879
characteristic,degradation,2020,0.093243998,167,63,0.035175879
soil,degradation,2020,0.093243998,167,91,0.050809604
degradation,soil,2020,0.093243998,167,91,0.050809604
managing,amount,2015,0.092765957,109,51,0.043404255
amount,managing,2015,0.092765957,109,51,0.043404255
location,characteristic,2015,0.092765957,109,46,0.039148936
landuse,chem.property,2015,0.092765957,109,76,0.064680851
chem.property,landuse,2015,0.092765957,109,76,0.064680851
characteristic,location,2015,0.092765957,109,46,0.039148936
landuse,compaction,2015,0.092765957,109,47,0.04
compaction,landuse,2015,0.092765957,109,47,0.04
stability,stability,2015,0.092765957,109,63,0.053617021
global.cycles,decomposition,2010,0.092764378,50,17,0.031539889
decomposition,global.cycles,2010,0.092764378,50,17,0.031539889
property.market,property.market,2010,0.092764378,50,24,0.044526902
erosion,compaction,2020,0.092127303,165,93,0.051926298
compaction,erosion,2020,0.092127303,165,93,0.051926298
location,aboveground,2015,0.09106383,107,51,0.043404255
aboveground,location,2015,0.09106383,107,51,0.043404255
economy,classification,2020,0.091010609,163,100,0.055834729
classification,economy,2020,0.091010609,163,100,0.055834729
policy,diversity,2010,0.090909091,49,33,0.06122449
diversity,policy,2010,0.090909091,49,33,0.06122449
characteristic,agriculture,2010,0.090909091,49,32,0.059369202
cover,amount,2010,0.090909091,49,21,0.038961039
agriculture,characteristic,2010,0.090909091,49,32,0.059369202
amount,cover,2010,0.090909091,49,21,0.038961039
research,global.cycles,2020,0.090452261,162,78,0.043551089
global.cycles,research,2020,0.090452261,162,78,0.043551089
environment,contamination,2015,0.090212766,106,55,0.046808511
contamination,environment,2015,0.090212766,106,55,0.046808511
environment,decomposition,2015,0.090212766,106,75,0.063829787
decomposition,environment,2015,0.090212766,106,75,0.063829787
salinization,salinization,2020,0.089893914,161,43,0.024008934
disturbance,agriculture,2015,0.089361702,105,70,0.059574468
agriculture,disturbance,2015,0.089361702,105,70,0.059574468
soil,human,2015,0.089361702,105,86,0.073191489
human,soil,2015,0.089361702,105,86,0.073191489
phy.property,decomposition,2020,0.089335567,160,123,0.068676717
decomposition,phy.property,2020,0.089335567,160,123,0.068676717
relocation,characteristic,2010,0.089053803,48,23,0.042671614
relocation,habitat,2010,0.089053803,48,25,0.046382189
characteristic,relocation,2010,0.089053803,48,23,0.042671614
habitat,relocation,2010,0.089053803,48,25,0.046382189
soil,amount,2020,0.088777219,159,103,0.057509771
research,location,2020,0.088777219,159,80,0.044667783
location,research,2020,0.088777219,159,80,0.044667783
amount,soil,2020,0.088777219,159,103,0.057509771
succession,diversity,2015,0.088510638,104,55,0.046808511
diversity,succession,2015,0.088510638,104,55,0.046808511
landuse,characteristic,2020,0.087660525,157,104,0.058068118
policy,cover,2020,0.087660525,157,106,0.059184813
characteristic,landuse,2020,0.087660525,157,104,0.058068118
cover,policy,2020,0.087660525,157,106,0.059184813
location,human,2020,0.087660525,157,57,0.031825796
human,location,2020,0.087660525,157,57,0.031825796
degradation,aboveground,2010,0.087198516,47,26,0.048237477
aboveground,degradation,2010,0.087198516,47,26,0.048237477
phy.property,economy,2010,0.087198516,47,32,0.059369202
economy,phy.property,2010,0.087198516,47,32,0.059369202
research,relocation,2010,0.087198516,47,23,0.042671614
relocation,research,2010,0.087198516,47,23,0.042671614
soil,human,2010,0.087198516,47,34,0.063079777
human,soil,2010,0.087198516,47,34,0.063079777
cover,characteristic,2015,0.086808511,102,71,0.060425532
characteristic,cover,2015,0.086808511,102,71,0.060425532
degradation,chem.property,2020,0.085985483,154,81,0.045226131
chem.property,degradation,2020,0.085985483,154,81,0.045226131
deposition,classification,2020,0.085427136,153,98,0.054718035
classification,deposition,2020,0.085427136,153,98,0.054718035
succession,diversity,2020,0.085427136,153,91,0.050809604
diversity,succession,2020,0.085427136,153,91,0.050809604
global.cycles,characteristic,2010,0.085343228,46,30,0.055658627
succession,cover,2010,0.085343228,46,28,0.051948052
characteristic,global.cycles,2010,0.085343228,46,30,0.055658627
cover,succession,2010,0.085343228,46,28,0.051948052
disturbance,cover,2015,0.085106383,100,38,0.032340426
cover,disturbance,2015,0.085106383,100,38,0.032340426
diversity,characteristic,2020,0.084868788,152,80,0.044667783
characteristic,diversity,2020,0.084868788,152,80,0.044667783
human,classification,2020,0.084868788,152,104,0.058068118
classification,human,2020,0.084868788,152,104,0.058068118
cover,characteristic,2020,0.084310441,151,108,0.060301508
characteristic,cover,2020,0.084310441,151,108,0.060301508
filtration,agriculture,2020,0.084310441,151,102,0.056951424
managing,amount,2020,0.084310441,151,80,0.044667783
agriculture,filtration,2020,0.084310441,151,102,0.056951424
amount,managing,2020,0.084310441,151,80,0.044667783
NA,NA,2020,0.084310441,151,151,0.084404695
contamination,chem.property,2015,0.084255319,99,49,0.041702128
chem.property,contamination,2015,0.084255319,99,49,0.041702128
research,diversity,2020,0.083752094,150,74,0.0413177
diversity,research,2020,0.083752094,150,74,0.0413177
location,chem.property,2010,0.083487941,45,16,0.029684601
chem.property,location,2010,0.083487941,45,16,0.029684601
habitat,agriculture,2010,0.083487941,45,25,0.046382189
agriculture,habitat,2010,0.083487941,45,25,0.046382189
erosion,belowground,2010,0.083487941,45,29,0.05380334
belowground,erosion,2010,0.083487941,45,29,0.05380334
habitat,degradation,2020,0.083193747,149,90,0.050251256
degradation,habitat,2020,0.083193747,149,90,0.050251256
soil,economy,2020,0.083193747,149,106,0.059184813
economy,soil,2020,0.083193747,149,106,0.059184813
research,landuse,2020,0.082635399,148,97,0.054159687
landuse,research,2020,0.082635399,148,97,0.054159687
environment,decomposition,2020,0.082635399,148,110,0.061418202
decomposition,environment,2020,0.082635399,148,110,0.061418202
deforestation,deforestation,2015,0.081702128,96,65,0.055319149
relocation,chem.property,2010,0.081632653,44,31,0.057513915
policy,economy,2010,0.081632653,44,24,0.044526902
succession,filtration,2010,0.081632653,44,31,0.057513915
economy,policy,2010,0.081632653,44,24,0.044526902
chem.property,relocation,2010,0.081632653,44,31,0.057513915
filtration,succession,2010,0.081632653,44,31,0.057513915
policy,cover,2015,0.080851064,95,70,0.059574468
cover,policy,2015,0.080851064,95,70,0.059574468
phy.property,decomposition,2015,0.080851064,95,63,0.053617021
decomposition,phy.property,2015,0.080851064,95,63,0.053617021
succession,filtration,2020,0.08040201,144,101,0.056393076
filtration,succession,2020,0.08040201,144,101,0.056393076
deforestation,deforestation,2020,0.08040201,144,91,0.050809604
erosion,diversity,2010,0.079777365,43,28,0.051948052
diversity,erosion,2010,0.079777365,43,28,0.051948052
phy.property,human,2010,0.079777365,43,31,0.057513915
human,phy.property,2010,0.079777365,43,31,0.057513915
compaction,amount,2010,0.079777365,43,17,0.031539889
amount,compaction,2010,0.079777365,43,17,0.031539889
global.cycles,deposition,2010,0.079777365,43,17,0.031539889
deposition,global.cycles,2010,0.079777365,43,17,0.031539889
global.cycles,belowground,2020,0.079285315,142,114,0.063651591
managing,contamination,2020,0.079285315,142,65,0.036292574
belowground,global.cycles,2020,0.079285315,142,114,0.063651591
contamination,managing,2020,0.079285315,142,65,0.036292574
managing,deposition,2020,0.079285315,142,101,0.056393076
deposition,managing,2020,0.079285315,142,101,0.056393076
disturbance,degradation,2015,0.079148936,93,66,0.056170213
erosion,degradation,2015,0.079148936,93,50,0.042553191
degradation,disturbance,2015,0.079148936,93,66,0.056170213
degradation,erosion,2015,0.079148936,93,50,0.042553191
phy.property,human,2020,0.078726968,141,99,0.055276382
human,phy.property,2020,0.078726968,141,99,0.055276382
landuse,filtration,2010,0.077922078,42,26,0.048237477
landuse,habitat,2010,0.077922078,42,26,0.048237477
filtration,landuse,2010,0.077922078,42,26,0.048237477
habitat,landuse,2010,0.077922078,42,26,0.048237477
succession,filtration,2015,0.077446809,91,70,0.059574468
filtration,succession,2015,0.077446809,91,70,0.059574468
relocation,chem.property,2015,0.077446809,91,53,0.045106383
chem.property,relocation,2015,0.077446809,91,53,0.045106383
soil,degradation,2015,0.077446809,91,49,0.041702128
degradation,soil,2015,0.077446809,91,49,0.041702128
policy,degradation,2020,0.077051926,138,43,0.024008934
degradation,policy,2020,0.077051926,138,43,0.024008934
landuse,filtration,2015,0.076595745,90,47,0.04
research,global.cycles,2015,0.076595745,90,37,0.031489362
filtration,landuse,2015,0.076595745,90,47,0.04
global.cycles,research,2015,0.076595745,90,37,0.031489362
disturbance,contamination,2010,0.07606679,41,17,0.031539889
contamination,disturbance,2010,0.07606679,41,17,0.031539889
climate,belowground,2010,0.07606679,41,27,0.050092764
belowground,climate,2010,0.07606679,41,27,0.050092764
succession,human,2010,0.07606679,41,25,0.046382189
