"document","year","state"
"1219-391Mplan_TGLinnauBongsiel_Text.pdf","2015","SchleHol"
"1219-391MPlan_TGSchafflundMuehle_Text.pdf","2014","SchleHol"
"1219-392_Mplan_TGSoholmfeld_Text.pdf","2017","SchleHol"
"1219-392Mplan_TGOchsenweg_Text.pdf","2015","SchleHol"
"1220-301_Mplan_Managementvermerk.pdf","2018","SchleHol"
"1222-301MPlan_Text.pdf","2011","SchleHol"
"1222-353MPlan_Text.pdf","2011","SchleHol"
"1223-356MPlan_Text.pdf","2011","SchleHol"
"1224-321Mplan_Text.pdf","2014","SchleHol"
"1225-355MPlan_Text.pdf","2015","SchleHol"
"1315-391Mplan_TG_1_Teilfortschreibung_Wriakhoern_Wittduen_Text.pdf","2020","SchleHol"
"1316-301Mplan_Text.pdf","2016","SchleHol"
"1319-301Mplan_Text.pdf","2014","SchleHol"
"1320-302Mplan_TGBargumerHeide_Text.pdf","2017","SchleHol"
"1320-302Mplan_TGGalgenberg_Text.pdf","2017","SchleHol"
"1320-302Mplan_TGMilitaerFlaechen_Text_StOUEbPl_Luetjenholm.pdf","2017","SchleHol"
"1320-302Mplan_TGNSGLuetjenholmerHeide_Text.pdf","2017","SchleHol"
"1320-303Mplan_Text.pdf","2015","SchleHol"
"1320-304Mplan_Text.pdf","2015","SchleHol"
"1321-303Mplan_Text.pdf","2011","SchleHol"
"1322-391MPlan_TGEggebek_Text.pdf","2012","SchleHol"
"1322-391MPlan_TGSHLF_Bueschau_Text.pdf","2012","SchleHol"
"1322-391Mplan_TGWildesMoor_Text.pdf","2015","SchleHol"
"1322-391MPlan_TGWinderatterSeeKielstau_Text.pdf","2013","SchleHol"
"1322-392Mplan_TGHollingstedtbisFriedrichstadt_Text.pdf","2018","SchleHol"
"1322-392Mplan_TGHolmingfeld_Text.pdf","2015","SchleHol"
"1322-392MPlan_TGPEPL_Hinweis.pdf","2015","SchleHol"
"1323-301Mplan_Text.pdf","2015","SchleHol"
"1323-355MPlan_Text.pdf","2010","SchleHol"
"1324-391Mplan_TGNeuberend_Betriebswerk_Neuberend_Langsee.pdf","2017","SchleHol"
"1324-391MPlan_TGSHLF_Text.pdf","2013","SchleHol"
"1325-356MPlan_Text.pdf","2012","SchleHol"
"1326-301MPlan_Text.pdf","2012","SchleHol"
"1420-301Mplan_Text.pdf","2017","SchleHol"
"1420-302MPlan_Text.pdf","2012","SchleHol"
"1420-391Mplan_TGNord_Text.pdf","2016","SchleHol"
"1420-391MPlan_TGSued_Text.pdf","2012","SchleHol"
"1421-301MPlan_Text.pdf","2012","SchleHol"
"1421-303Mplan_Text.pdf","2012","SchleHol"
"1421-304MPlan_Text.pdf","2012","SchleHol"
"1422-301MPlan_Text.pdf","2012","SchleHol"
"1422-303MPlan_Text.pdf","2012","SchleHol"
"1423-302Mplan_Text.pdf","2013","SchleHol"
"1423-393Mplan_Text.pdf","2018","SchleHol"
"1423-394MPlan-TGNSGSchleimuendungText.pdf","2012","SchleHol"
"1423-394MPlan-TGSchleiSued_Text.pdf","2014","SchleHol"
"1423-394MPlan_TGSchleiNord_Text.pdf","2015","SchleHol"
"1424-357MPlan_Text.pdf","2009","SchleHol"
"1425-301Mplan_Text.pdf","2012","SchleHol"
"1425-330Mplan_Text.pdf","2017","SchleHol"
"1521-391MPlan_TGPrivatflaechen_Text.pdf","2012","SchleHol"
"1521-391MPlan_TGSHLF_Text.pdf","2013","SchleHol"
"1522-301MPlan_Text.pdf","2012","SchleHol"
"1523-353Mplan_Text.pdf","2012","SchleHol"
"1523-391Mplan_Text.pdf","2018","SchleHol"
